room_count,strategy,cases,room_accuracy,positive_si_sdr_rate,mean_physical_devices,mean_physical_channels,mean_input_snr_db,p10_input_snr_db,mean_output_snr_db,p10_output_snr_db,mean_snr_improvement_db,p10_snr_improvement_db,mean_si_sdr_improvement_db,p10_si_sdr_improvement_db,mean_output_pesq,p10_output_pesq,mean_pesq_improvement,p10_pesq_improvement,mean_output_stoi,p10_output_stoi,mean_output_dry_pesq,p10_output_dry_pesq,mean_output_dry_stoi,p10_output_dry_stoi,mean_rtf,p10_rtf
4,equal_channel_hybrid_mwf,20,0.7,1.0,2.0,5.0,-7.74142,-20.62131,11.99178,2.13385,19.73319,12.67445,14.7789,8.73832,1.73627,1.11225,0.64518,-0.00076,0.73444,0.45188,1.22305,1.03288,0.65074,0.43385,0.00497,0.00478
4,oracle_target_room_array_mwf,20,0.7,1.0,1.0,4.0,-0.32068,-0.44618,19.79084,13.64516,20.11152,14.11065,15.98872,11.6452,2.31337,1.70989,1.25909,0.6654,0.93134,0.85506,1.12512,1.05999,0.77884,0.70945,0.00428,0.00417
4,oracle_target_room_single_raw,20,0.7,0.0,1.0,1.0,-0.43058,-0.46099,-0.43058,-0.46099,0.0,0.0,0.0,0.0,1.05391,1.0479,0.0,0.0,0.57246,0.5466,1.0255,1.02344,0.57039,0.53942,0.0,0.0
4,tdoa_routed_fixed_array_ds,20,0.7,0.65,6.0,9.0,-8.17343,-20.62131,-7.43834,-20.32637,0.73512,0.16642,0.37366,-0.24823,1.05382,1.02831,-0.03548,-0.03072,0.47607,0.1572,1.06331,1.02149,0.52737,0.39827,0.0025,0.00239
4,tdoa_routed_fixed_array_mwf,20,0.7,1.0,6.0,9.0,-8.17343,-20.62131,11.23993,1.66874,19.41337,15.02851,14.49436,8.44299,1.68954,1.10795,0.60024,0.00101,0.71314,0.39605,1.22106,1.03063,0.64661,0.43923,0.00423,0.00411
4,tdoa_routed_single_raw,20,0.7,0.0,5.0,5.0,-1.64134,-1.36705,-1.64134,-1.36705,0.0,0.0,0.0,0.0,1.0642,1.04738,0.0,0.0,0.54743,0.51949,1.03082,1.02309,0.56205,0.51385,0.0,0.0
4,tdoa_routed_single_wiener,20,0.7,0.95,5.0,5.0,-1.64134,-1.36705,0.26886,0.87194,1.9102,2.08582,1.47487,1.2665,1.03287,1.02479,-0.03132,-0.04438,0.51392,0.48335,1.02319,1.02037,0.49768,0.44299,0.00395,0.00385
6,coverage_hybrid_all_mwf,20,0.7,1.0,8.0,11.0,-0.24353,-0.56022,16.63157,10.0511,16.87509,11.5354,13.90751,9.56703,1.94524,1.30413,0.88929,0.26571,0.86474,0.69609,1.08568,1.04467,0.7342,0.59519,0.01041,0.00992
6,coverage_hybrid_selected_mwf,20,0.7,1.0,8.0,11.0,-0.79733,-1.67876,14.89658,7.15787,15.69391,9.37053,12.66607,7.1541,1.79812,1.1706,0.74267,0.12256,0.82656,0.62843,1.08313,1.04374,0.71543,0.59204,0.00649,0.0062
6,distributed_singles_mwf,20,0.7,1.0,7.0,7.0,-0.30778,-0.66309,12.40085,7.19039,12.70862,6.79764,10.3464,4.47443,1.50654,1.16626,0.45106,0.11727,0.78884,0.64952,1.07334,1.04115,0.69161,0.576,0.00652,0.00616
6,equal_channel_hybrid_mwf,20,0.7,1.0,4.0,7.0,-0.4471,-0.42615,12.59173,4.81502,13.03882,5.76773,10.10097,3.72107,1.66656,1.10928,0.61434,0.07326,0.76576,0.57631,1.06877,1.0393,0.68508,0.57682,0.00637,0.00613
6,oracle_target_room_array_mwf,20,0.7,1.0,1.0,4.0,-0.2909,-0.41239,18.19594,14.59311,18.48682,14.943,14.85039,12.49245,2.06738,1.62547,1.01406,0.57465,0.91001,0.84964,1.11281,1.05509,0.7771,0.74188,0.00427,0.00414
6,oracle_target_room_single_raw,20,0.7,0.0,1.0,1.0,-0.41953,-0.4421,-0.41953,-0.4421,0.0,0.0,0.0,0.0,1.05268,1.0475,0.0,0.0,0.58299,0.56069,1.02563,1.02334,0.5813,0.55069,0.0,0.0
6,tdoa_routed_fixed_array_ds,20,0.7,0.55,8.0,11.0,-10.01543,-20.62369,-9.40918,-20.51095,0.60623,-0.30436,0.04073,-0.80978,1.16848,1.02495,0.12222,-0.00039,0.42795,0.1493,1.24219,1.01901,0.5129,0.3763,0.00253,0.00237
6,tdoa_routed_fixed_array_mwf,20,0.7,1.0,8.0,11.0,-10.01543,-20.62369,8.95826,-1.006,18.97368,15.11271,15.0106,12.77582,1.7498,1.05743,0.70354,0.02852,0.63533,0.26562,1.18046,1.03272,0.61087,0.42737,0.00433,0.00418
6,tdoa_routed_single_raw,20,0.7,0.0,7.0,7.0,-5.15042,-17.0053,-5.15042,-17.0053,0.0,0.0,0.0,0.0,1.04989,1.02504,0.0,0.0,0.46793,0.16483,1.04068,1.02306,0.52525,0.39081,0.0,0.0
6,tdoa_routed_single_wiener,20,0.7,0.85,7.0,7.0,-5.15042,-17.0053,-4.1179,-19.18219,1.03251,-3.31748,1.06655,-0.44042,1.03483,1.02144,-0.01506,-0.04037,0.43694,0.13946,1.06797,1.01962,0.4561,0.27542,0.00396,0.00384
8,coverage_hybrid_all_mwf,20,0.8,1.0,9.0,12.0,-0.77353,-1.94599,14.75687,6.94169,15.53039,7.73153,12.67281,5.66871,1.74476,1.21873,0.69554,0.16588,0.82964,0.6535,1.13919,1.04612,0.74258,0.59429,0.01119,0.01067
8,coverage_hybrid_selected_mwf,20,0.8,1.0,9.0,12.0,-1.58482,-3.08184,12.70225,4.97982,14.28707,7.44942,11.51991,5.46478,1.62137,1.16237,0.57362,0.11595,0.77598,0.54388,1.12764,1.03346,0.71245,0.52338,0.00651,0.00619
8,distributed_singles_mwf,20,0.8,1.0,8.0,8.0,-0.83957,-1.94599,9.86746,6.76704,10.70704,7.25673,8.5476,5.30762,1.31327,1.17363,0.26395,0.12221,0.72952,0.61907,1.07124,1.04127,0.67592,0.58902,0.00778,0.00748
8,equal_channel_hybrid_mwf,20,0.8,1.0,5.0,8.0,-2.46461,-4.29379,10.88607,3.86764,13.35069,4.82148,10.52336,2.92332,1.54045,1.10965,0.48988,0.06188,0.72252,0.52571,1.12854,1.03693,0.69385,0.52254,0.00783,0.00747
8,oracle_target_room_array_mwf,20,0.8,1.0,1.0,4.0,-0.30437,-0.44709,17.92577,14.91995,18.23012,15.21671,14.78263,12.11216,2.01347,1.6833,0.96068,0.6352,0.91696,0.87548,1.1609,1.06935,0.80908,0.75471,0.00431,0.00418
8,oracle_target_room_single_raw,20,0.8,0.0,1.0,1.0,-0.41782,-0.43449,-0.41782,-0.43449,0.0,0.0,0.0,0.0,1.0538,1.04631,0.0,0.0,0.59463,0.57056,1.02741,1.02415,0.59985,0.56751,0.0,0.0
8,tdoa_routed_fixed_array_ds,20,0.8,0.65,9.0,12.0,-13.38854,-31.70278,-12.94821,-32.30791,0.44034,-0.37221,-0.00678,-1.11336,1.1196,1.022,-0.0436,-0.00589,0.41834,0.10702,1.06728,1.03102,0.5374,0.39,0.0025,0.00238
8,tdoa_routed_fixed_array_mwf,20,0.8,1.0,9.0,12.0,-13.38854,-31.70278,6.22953,-7.48461,19.61807,11.15787,14.31592,7.4425,1.68779,1.07346,0.52458,0.03006,0.5767,0.19932,1.27494,1.06897,0.62776,0.39348,0.0043,0.00416
8,tdoa_routed_single_raw,20,0.8,0.0,8.0,8.0,-1.31988,-1.94181,-1.31988,-1.94181,0.0,0.0,0.0,0.0,1.04987,1.04527,0.0,0.0,0.56549,0.49472,1.03405,1.02493,0.57979,0.48047,0.0,0.0
8,tdoa_routed_single_wiener,20,0.8,0.95,8.0,8.0,-1.31988,-1.94181,0.82315,0.2049,2.14305,2.16088,1.40158,1.36964,1.02674,1.02424,-0.02313,-0.03013,0.53062,0.47909,1.02743,1.02196,0.52014,0.45446,0.00397,0.00385
