room_count,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
12,local_array_4ch,local_wpd,2,1.0,-0.30945,-0.30945,-0.2827,-0.2827,0.53202,0.53202,1.06883,1.06883,4.8703,4.8703,3.0354,3.0354,0.23081,0.23081,0.76284,0.76284,0.03732,0.03732,1.10615,1.10615,0.01548,0.01548,,,-4.1951,-4.1951,0.6982,0.6982,1.02948,1.02948
12,local_array_4ch,local_wpe_mvdr,2,1.0,-0.30945,-0.30945,-0.2827,-0.2827,0.53202,0.53202,1.06883,1.06883,9.84175,9.84175,5.6375,5.6375,0.2725,0.2725,0.80452,0.80452,0.31199,0.31199,1.38083,1.38083,0.0384,0.0384,,,-2.76805,-2.76805,0.73598,0.73598,1.04324,1.04324
12,local_array_4ch,local_wpe_mwf,2,1.0,-0.30945,-0.30945,-0.2827,-0.2827,0.53202,0.53202,1.06883,1.06883,14.12845,14.12845,9.09275,9.09275,0.28595,0.28595,0.81798,0.81798,0.84309,0.84309,1.91193,1.91193,0.0384,0.0384,,,-3.45305,-3.45305,0.71915,0.71915,1.05596,1.05596
12,single,single_raw,2,0.0,13.4713,13.4713,13.4291,13.4291,0.82563,0.82563,2.17948,2.17948,0.0,0.0,0.0,0.0,0.0,0.0,0.82563,0.82563,0.0,0.0,2.17948,2.17948,0.0,0.0,1.2596,1.2596,-8.7264,-8.7264,0.7263,0.7263,1.0505,1.0505
12,single,single_wiener,2,0.0,13.4713,13.4713,13.4291,13.4291,0.82563,0.82563,2.17948,2.17948,2.37265,2.37265,0.9955,0.9955,-0.01027,-0.01027,0.81536,0.81536,0.11249,0.11249,2.29198,2.29198,0.00378,0.00378,1.2596,1.2596,-8.20475,-8.20475,0.7127,0.7127,1.06261,1.06261
4,distributed_singles,distributed_mvdr,2,1.0,5.41795,5.41795,5.38945,5.38945,0.72402,0.72402,1.24042,1.24042,19.9262,19.9262,1.7228,1.7228,0.23602,0.23602,0.96002,0.96002,1.97286,1.97286,3.21328,3.21328,0.00559,0.00559,0.6886,0.6886,-7.74565,-7.74565,0.72901,0.72901,1.07383,1.07383
4,distributed_singles,distributed_mwf,2,1.0,5.41795,5.41795,5.38945,5.38945,0.72402,0.72402,1.24042,1.24042,16.58045,16.58045,13.69855,13.69855,0.239,0.239,0.96301,0.96301,1.68254,1.68254,2.92296,2.92296,0.00579,0.00579,0.6886,0.6886,-4.8195,-4.8195,0.74391,0.74391,1.08799,1.08799
4,distributed_singles,distributed_weighted_ds,2,1.0,5.41795,5.41795,5.38945,5.38945,0.72402,0.72402,1.24042,1.24042,2.2144,2.2144,1.5425,1.5425,0.06613,0.06613,0.79015,0.79015,0.12985,0.12985,1.37027,1.37027,0.00349,0.00349,0.6886,0.6886,-7.10955,-7.10955,0.63613,0.63613,1.04382,1.04382
4,distributed_singles,distributed_wpd,2,1.0,5.41795,5.41795,5.38945,5.38945,0.72402,0.72402,1.24042,1.24042,5.9323,5.9323,-3.4351,-3.4351,0.04246,0.04246,0.76648,0.76648,0.01166,0.01166,1.25208,1.25208,0.0206,0.0206,0.6886,0.6886,-9.04485,-9.04485,0.68249,0.68249,1.03446,1.03446
4,distributed_singles,distributed_wpe_mvdr,2,1.0,5.41795,5.41795,5.38945,5.38945,0.72402,0.72402,1.24042,1.24042,17.51585,17.51585,1.42295,1.42295,0.21802,0.21802,0.94204,0.94204,1.47433,1.47433,2.71474,2.71474,0.10113,0.10113,0.6886,0.6886,-7.2498,-7.2498,0.74134,0.74134,1.07204,1.07204
