room_count,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
6,distributed_singles,distributed_wpd,10,1.0,7.48312,8.70575,7.51254,8.5796,0.76404,0.80482,1.42209,1.38391,3.62061,4.83635,-6.99235,-3.883,-0.13144,-0.02254,0.6326,0.73645,-0.06428,0.0169,1.35781,1.42807,0.02596,0.02559,1.08987,1.0221,-13.4242,-13.2574,0.56921,0.57296,1.04672,1.03992
6,distributed_singles,distributed_wpe_mvdr,10,1.0,7.48312,8.70575,7.51254,8.5796,0.76404,0.80482,1.42209,1.38391,12.0092,12.55345,-1.82681,-1.03585,0.0835,0.08086,0.84753,0.87537,0.59658,0.84893,2.01867,1.95376,0.14058,0.13918,1.08987,1.0221,-11.05917,-10.8488,0.62518,0.62342,1.04519,1.04495
6,distributed_singles,distributed_wpe_mwf,10,1.0,7.48312,8.70575,7.51254,8.5796,0.76404,0.80482,1.42209,1.38391,10.89263,11.45655,5.37324,5.465,0.14991,0.13395,0.91395,0.92344,0.89054,0.87065,2.31262,2.35308,0.1408,0.14019,1.08987,1.0221,-7.72893,-10.34515,0.69161,0.67625,1.05636,1.05271
6,local_array_4ch,local_ds,10,1.0,-0.27612,-0.27135,-0.25085,-0.2967,0.55471,0.55446,1.06484,1.06354,1.26039,1.32475,0.90304,0.7951,0.10525,0.12976,0.65996,0.68636,0.01265,0.01379,1.07749,1.07947,0.00293,0.00293,,,-7.89669,-7.8308,0.57263,0.571,1.02612,1.02581
6,local_array_4ch,local_mvdr,10,1.0,-0.27612,-0.27135,-0.25085,-0.2967,0.55471,0.55446,1.06484,1.06354,12.77586,13.20115,9.87367,9.6496,0.36205,0.39633,0.91676,0.95334,0.94527,0.99694,2.01011,2.06352,0.00487,0.0048,,,-5.22143,-5.8262,0.66934,0.67485,1.04642,1.04856
6,local_array_4ch,local_mwf,10,1.0,-0.27612,-0.27135,-0.25085,-0.2967,0.55471,0.55446,1.06484,1.06354,19.9806,21.59475,16.03102,17.75785,0.37165,0.40306,0.92635,0.96015,1.51707,1.79146,2.58191,2.85804,0.00505,0.00486,,,-4.88124,-5.3574,0.66977,0.67082,1.05221,1.05127
6,local_array_4ch,local_wpd,10,1.0,-0.27612,-0.27135,-0.25085,-0.2967,0.55471,0.55446,1.06484,1.06354,7.55604,8.1578,5.80182,5.9693,0.28147,0.31775,0.83618,0.87052,0.20833,0.21297,1.27317,1.27954,0.01717,0.01726,,,-5.20089,-5.26395,0.66775,0.6814,1.03515,1.03611
6,local_array_4ch,local_wpe_mvdr,10,1.0,-0.27612,-0.27135,-0.25085,-0.2967,0.55471,0.55446,1.06484,1.06354,12.31022,12.4497,7.51032,7.4818,0.29902,0.32303,0.85373,0.87579,0.66989,0.69634,1.73472,1.76292,0.03729,0.03708,,,-4.15753,-4.67415,0.69825,0.70735,1.04969,1.0518
6,local_array_4ch,local_wpe_mwf,10,1.0,-0.27612,-0.27135,-0.25085,-0.2967,0.55471,0.55446,1.06484,1.06354,16.54292,17.14115,9.93363,10.47475,0.30127,0.31376,0.85598,0.86652,0.9698,1.02293,2.03464,2.08952,0.03736,0.03719,,,-3.9414,-4.3764,0.69229,0.68953,1.05472,1.05585
6,single,single_raw,10,1.0,7.48312,8.70575,7.51254,8.5796,0.76404,0.80482,1.42209,1.38391,0.0,0.0,0.0,0.0,0.0,0.0,0.76404,0.80482,0.0,0.0,1.42209,1.38391,0.0,0.0,1.08987,1.0221,-9.27346,-10.92965,0.60576,0.60938,1.03621,1.03593
6,single,single_wiener,10,1.0,7.48312,8.70575,7.51254,8.5796,0.76404,0.80482,1.42209,1.38391,2.42825,2.541,1.06372,1.0483,-0.02237,-0.01913,0.74166,0.78649,-0.10285,-0.09037,1.31923,1.23696,0.00487,0.00485,1.08987,1.0221,-8.75637,-10.61215,0.57507,0.58232,1.03569,1.03542
8,distributed_singles,distributed_mvdr,10,1.0,7.72363,6.9415,7.69043,6.95755,0.77125,0.77787,1.3943,1.25622,15.6014,16.00625,-0.48469,-0.95585,0.11394,0.08695,0.88519,0.90202,1.29769,1.50863,2.69198,2.76611,0.00816,0.00811,1.11403,0.6787,-9.0574,-10.312,0.65308,0.63069,1.05066,1.04512
